Date,User,Tweet,original,Retweets,Likes,Followers,polarity_score,Classification,Stance_-1to1,Stance_0to100,,Stance_weighted_reach
2024-07-09 11:52:03+00:00,1665449125,rt iam_rohit_g hello nsitharaman mam file fir handle sharing deepfake video using ai crime u,"RT @Iam_Rohit_G: Hello @nsitharaman Mam, Can you  file an FIR against this handle for sharing a deepfake video using AI.

This is a crime u…",2628,0,1667,-0.1779,Neither,-0.1779,41.1, 304.93654195795824 , 304.94 
2024-07-09 11:51:28+00:00,1152836242096005120,rt iam_rohit_g hello nsitharaman mam file fir handle sharing deepfake video using ai crime u,"RT @Iam_Rohit_G: Hello @nsitharaman Mam, Can you  file an FIR against this handle for sharing a deepfake video using AI.

This is a crime u…",2628,0,386,-0.1779,Neither,-0.1779,41.1, 244.89125488352406 , 244.89 
2024-07-09 11:48:28+00:00,83562751,rt iam_rohit_g hello nsitharaman mam file fir handle sharing deepfake video using ai crime u,"RT @Iam_Rohit_G: Hello @nsitharaman Mam, Can you  file an FIR against this handle for sharing a deepfake video using AI.

This is a crime u…",2628,0,365,-0.1779,Neither,-0.1779,41.1, 242.59823000279616 , 242.60 
2024-07-09 11:47:41+00:00,1268894244850348034,rt iam_rohit_g hello nsitharaman mam file fir handle sharing deepfake video using ai crime u,"RT @Iam_Rohit_G: Hello @nsitharaman Mam, Can you  file an FIR against this handle for sharing a deepfake video using AI.

This is a crime u…",2628,0,57,-0.1779,Neither,-0.1779,41.1, 166.88420773345783 , 166.88 
2024-07-09 11:47:19+00:00,3251366544,rt iam_rohit_g hello nsitharaman mam file fir handle sharing deepfake video using ai crime u,"RT @Iam_Rohit_G: Hello @nsitharaman Mam, Can you  file an FIR against this handle for sharing a deepfake video using AI.

This is a crime u…",2628,0,433,-0.1779,Neither,-0.1779,41.1, 249.60213035152665 , 249.60 
2024-07-09 11:46:52+00:00,127273215,rt iam_rohit_g hello nsitharaman mam file fir handle sharing deepfake video using ai crime u,"RT @Iam_Rohit_G: Hello @nsitharaman Mam, Can you  file an FIR against this handle for sharing a deepfake video using AI.

This is a crime u…",2628,0,164,-0.1779,Neither,-0.1779,41.1, 209.8543589773139 , 209.85 
2024-07-09 11:46:25+00:00,3998773154,rt iam_rohit_g hello nsitharaman mam file fir handle sharing deepfake video using ai crime u,"RT @Iam_Rohit_G: Hello @nsitharaman Mam, Can you  file an FIR against this handle for sharing a deepfake video using AI.

This is a crime u…",2628,0,477,-0.1779,Neither,-0.1779,41.1, 253.57100110539886 , 253.57 
2024-07-09 11:45:44+00:00,1622239628,rt iam_rohit_g hello nsitharaman mam file fir handle sharing deepfake video using ai crime u,"RT @Iam_Rohit_G: Hello @nsitharaman Mam, Can you  file an FIR against this handle for sharing a deepfake video using AI.

This is a crime u…",2628,0,270,-0.1779,Neither,-0.1779,41.1, 230.24708353815572 , 230.25 
2024-07-09 11:42:48+00:00,524239726,rt iam_rohit_g hello nsitharaman mam file fir handle sharing deepfake video using ai crime u,"RT @Iam_Rohit_G: Hello @nsitharaman Mam, Can you  file an FIR against this handle for sharing a deepfake video using AI.

This is a crime u…",2628,0,247,-0.1779,Neither,-0.1779,41.1, 226.60192146738078 , 226.60 
2024-07-09 11:41:11+00:00,3415272454,rt iam_rohit_g hello nsitharaman mam file fir handle sharing deepfake video using ai crime u,"RT @Iam_Rohit_G: Hello @nsitharaman Mam, Can you  file an FIR against this handle for sharing a deepfake video using AI.

This is a crime u…",2628,0,1498,-0.1779,Neither,-0.1779,41.1, 300.5459487720168 , 300.55 
2024-07-09 11:40:53+00:00,927368856,rt iam_rohit_g hello nsitharaman mam file fir handle sharing deepfake video using ai crime u,"RT @Iam_Rohit_G: Hello @nsitharaman Mam, Can you  file an FIR against this handle for sharing a deepfake video using AI.

This is a crime u…",2628,0,118,-0.1779,Neither,-0.1779,41.1, 196.42197556688387 , 196.42 
2024-07-09 11:40:53+00:00,836174626132754433,rt iam_rohit_g hello nsitharaman mam file fir handle sharing deepfake video using ai crime u,"RT @Iam_Rohit_G: Hello @nsitharaman Mam, Can you  file an FIR against this handle for sharing a deepfake video using AI.

This is a crime u…",2628,0,241,-0.1779,Neither,-0.1779,41.1, 225.59534054503985 , 225.60 
2024-07-09 11:40:45+00:00,104864974,rt iam_rohit_g hello nsitharaman mam file fir handle sharing deepfake video using ai crime u,"RT @Iam_Rohit_G: Hello @nsitharaman Mam, Can you  file an FIR against this handle for sharing a deepfake video using AI.

This is a crime u…",2628,0,357,-0.1779,Neither,-0.1779,41.1, 241.6899057410688 , 241.69 
2024-07-09 11:40:25+00:00,2511624290,rt iam_rohit_g hello nsitharaman mam file fir handle sharing deepfake video using ai crime u,"RT @Iam_Rohit_G: Hello @nsitharaman Mam, Can you  file an FIR against this handle for sharing a deepfake video using AI.

This is a crime u…",2628,0,441,-0.1779,Neither,-0.1779,41.1, 250.35283615339338 , 250.35 
2024-07-09 11:37:49+00:00,1463038600711270404,rt iam_rohit_g hello nsitharaman mam file fir handle sharing deepfake video using ai crime u,"RT @Iam_Rohit_G: Hello @nsitharaman Mam, Can you  file an FIR against this handle for sharing a deepfake video using AI.

This is a crime u…",2628,0,1094,-0.1779,Neither,-0.1779,41.1, 287.6387462964997 , 287.64 
2024-07-09 11:35:59+00:00,3252709561,rt iam_rohit_g hello nsitharaman mam file fir handle sharing deepfake video using ai crime u,"RT @Iam_Rohit_G: Hello @nsitharaman Mam, Can you  file an FIR against this handle for sharing a deepfake video using AI.

This is a crime u…",2628,0,708,-0.1779,Neither,-0.1779,41.1, 269.77446214047046 , 269.77 
2024-07-09 11:35:36+00:00,1779903200088174592,rt iam_rohit_g hello nsitharaman mam file fir handle sharing deepfake video using ai crime u,"RT @Iam_Rohit_G: Hello @nsitharaman Mam, Can you  file an FIR against this handle for sharing a deepfake video using AI.

This is a crime u…",2628,0,44,-0.1779,Neither,-0.1779,41.1, 156.45382832956014 , 156.45 
2024-07-09 11:34:32+00:00,287535839,rt iam_rohit_g hello nsitharaman mam file fir handle sharing deepfake video using ai crime u,"RT @Iam_Rohit_G: Hello @nsitharaman Mam, Can you  file an FIR against this handle for sharing a deepfake video using AI.

This is a crime u…",2628,0,248,-0.1779,Neither,-0.1779,41.1, 226.7673140446995 , 226.77 
2024-07-09 11:32:58+00:00,1160504858786451457,rt iam_rohit_g hello nsitharaman mam file fir handle sharing deepfake video using ai crime u,"RT @Iam_Rohit_G: Hello @nsitharaman Mam, Can you  file an FIR against this handle for sharing a deepfake video using AI.

This is a crime u…",2628,0,195,-0.1779,Neither,-0.1779,41.1, 216.93051249437426 , 216.93 
2024-07-09 11:32:33+00:00,1765995786335408128,rt iam_rohit_g hello nsitharaman mam file fir handle sharing deepfake video using ai crime u,"RT @Iam_Rohit_G: Hello @nsitharaman Mam, Can you  file an FIR against this handle for sharing a deepfake video using AI.

This is a crime u…",2628,0,96,-0.1779,Neither,-0.1779,41.1, 188.02062121648905 , 188.02 
2024-07-09 11:32:18+00:00,2364992798,rt iam_rohit_g hello nsitharaman mam file fir handle sharing deepfake video using ai crime u,"RT @Iam_Rohit_G: Hello @nsitharaman Mam, Can you  file an FIR against this handle for sharing a deepfake video using AI.

This is a crime u…",2628,0,5599,-0.1779,Neither,-0.1779,41.1, 354.7144491333252 , 354.71 
2024-07-09 11:25:07+00:00,1656481357865041920,rt iam_rohit_g hello nsitharaman mam file fir handle sharing deepfake video using ai crime u,"RT @Iam_Rohit_G: Hello @nsitharaman Mam, Can you  file an FIR against this handle for sharing a deepfake video using AI.

This is a crime u…",2628,0,10285,-0.1779,Neither,-0.1779,41.1, 379.70395398236286 , 379.70 
2024-07-09 11:22:57+00:00,1618138324753059840,rt iam_rohit_g hello nsitharaman mam file fir handle sharing deepfake video using ai crime u,"RT @Iam_Rohit_G: Hello @nsitharaman Mam, Can you  file an FIR against this handle for sharing a deepfake video using AI.

This is a crime u…",2628,0,47,-0.1779,Neither,-0.1779,41.1, 159.10636154831434 , 159.11 
2024-07-09 11:22:37+00:00,2897679925,rt iam_rohit_g hello nsitharaman mam file fir handle sharing deepfake video using ai crime u,"RT @Iam_Rohit_G: Hello @nsitharaman Mam, Can you  file an FIR against this handle for sharing a deepfake video using AI.

This is a crime u…",2628,0,97,-0.1779,Neither,-0.1779,41.1, 188.44216337336053 , 188.44 
